Drug_ID,Drug_name,Disease_ID,Disease_name,Model,Total_Abstracts,Analyzed,Positive,Neutral,Negative,Overall_Assessment,Total_Analyzed,Rate_Positive,Rate_Neutral,Rate_Negative,Criterion_1,Criterion_2,Display_Rate_Pos,Display_Rate_Neu,Display_Rate_Neg
14852.0,Procainamide,28780,Alzheimer disease,CompGCN,2,2,0,2,0,Neutral,2,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
17170.0,Pyridostigmine,28780,Alzheimer disease,CompGCN,2,2,0,2,0,Neutral,2,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
15308.0,Riluzole,28780,Alzheimer disease,CompGCN,7,7,2,5,0,Neutral,7,0.2857142857142857,0.7142857142857143,0.0,Potentially Therapeutic,Potentially Therapeutic,28.6%,71.4%,0.0%
15291.0,Ropinirole,28780,Alzheimer disease,CompGCN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14904.0,Safinamide ,28780,Alzheimer disease,TxGNN,2,2,0,2,0,Neutral,2,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
20652.0,Sivelestat,28780,Alzheimer disease,TxGNN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
20500.0,Succinimide,28780,Alzheimer disease,TxGNN,3,3,0,3,0,Neutral,3,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14208.0,Testosterone,28780,Alzheimer disease,Hetio,103,103,5,97,1,Neutral,103,0.04854368932038835,0.941747572815534,0.009708737864077669,Potentially Therapeutic,Potentially Therapeutic,4.9%,94.2%,1.0%
15185.0,Tetrabenazine,28780,Alzheimer disease,TxGNN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
15772.0,Tolcapone,28780,Alzheimer disease,TxGNN,3,3,0,3,0,Neutral,3,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14875.0,Tretamine,28780,Alzheimer disease,CompGCN,194,194,0,194,0,Neutral,194,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14875.0,Tretamine,28780,Alzheimer disease,Hetio,194,194,0,194,0,Neutral,194,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14023.0,Triamcinolone,28780,Alzheimer disease,Hetio,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
15679.0,Vinpocetine ,28780,Alzheimer disease,TxGNN,8,8,0,8,0,Neutral,8,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
15099.0,Zolpidem,28780,Alzheimer disease,CompGCN,3,3,0,1,2,Negative,3,0.0,0.3333333333333333,0.6666666666666666,Potentially Adverse Effect,No Positive Sign,0.0%,33.3%,66.7%
15399.0,Acefylline,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
16036.0,Acetylcysteine,99214,cardiomyopathy due to anthracyclines,CompGCN,128,128,11,113,4,Neutral,128,0.0859375,0.8828125,0.03125,Potentially Therapeutic,Potentially Therapeutic,8.6%,88.3%,3.1%
16219.0,Alprostadil,99214,cardiomyopathy due to anthracyclines,CompGCN,11,11,0,11,0,Neutral,11,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14302.0,Amiodarone,99214,cardiomyopathy due to anthracyclines,CompGCN,200,200,0,185,15,Neutral,200,0.0,0.925,0.075,Potentially Adverse Effect,No Positive Sign,0.0%,92.5%,7.5%
14302.0,Amiodarone,99214,cardiomyopathy due to anthracyclines,eAICTable1only,200,200,0,185,15,Neutral,200,0.0,0.925,0.075,Potentially Adverse Effect,No Positive Sign,0.0%,92.5%,7.5%
17222.0,Amrinone,99214,cardiomyopathy due to anthracyclines,eAICTable1only,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
19882.0,Anisomycin,99214,cardiomyopathy due to anthracyclines,eAICTable1only,1,1,0,0,1,Negative,1,0.0,0.0,1.0,Potentially Adverse Effect,No Positive Sign,0.0%,0.0%,100.0%
15160.0,Arformoterol,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14128.0,Ascorbic acid,99214,cardiomyopathy due to anthracyclines,CompGCN,64,64,6,56,2,Neutral,64,0.09375,0.875,0.03125,Potentially Therapeutic,Potentially Therapeutic,9.4%,87.5%,3.1%
14783.0,Caffeine,99214,cardiomyopathy due to anthracyclines,CompGCN,59,59,0,49,10,Neutral,59,0.0,0.8305084745762712,0.1694915254237288,Potentially Adverse Effect,No Positive Sign,0.0%,83.1%,16.9%
14956.0,Carbamazepine,99214,cardiomyopathy due to anthracyclines,CompGCN,6,6,0,6,0,Neutral,6,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14956.0,Carbamazepine,99214,cardiomyopathy due to anthracyclines,eAICTable1only,6,6,0,6,0,Neutral,6,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14653.0,Choline,99214,cardiomyopathy due to anthracyclines,CompGCN,36,36,0,36,0,Neutral,36,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14991.0,Cilostazol,99214,cardiomyopathy due to anthracyclines,TxGNN,6,6,1,5,0,Neutral,6,0.16666666666666666,0.8333333333333334,0.0,Potentially Therapeutic,Potentially Therapeutic,16.7%,83.3%,0.0%
14186.0,Cisplatin,99214,cardiomyopathy due to anthracyclines,CompGCN,40,40,0,31,9,Neutral,40,0.0,0.775,0.225,Potentially Adverse Effect,No Positive Sign,0.0%,77.5%,22.5%
14686.0,Clomifene,99214,cardiomyopathy due to anthracyclines,CompGCN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14198.0,Clonidine,99214,cardiomyopathy due to anthracyclines,eAICTable1only,14,14,0,13,1,Neutral,14,0.0,0.9285714285714286,0.07142857142857142,Potentially Adverse Effect,No Positive Sign,0.0%,92.9%,7.1%
14934.0,Cyclosporine,99214,cardiomyopathy due to anthracyclines,CompGCN,167,167,3,161,3,Neutral,167,0.017964071856287425,0.9640718562874252,0.017964071856287425,Potentially Therapeutic,Potentially Therapeutic,1.8%,96.4%,1.8%
16281.0,Cysteine,99214,cardiomyopathy due to anthracyclines,CompGCN,200,200,3,197,0,Neutral,200,0.015,0.985,0.0,Potentially Therapeutic,Potentially Therapeutic,1.5%,98.5%,0.0%
14780.0,Cytarabine,99214,cardiomyopathy due to anthracyclines,CompGCN,27,27,0,22,5,Neutral,27,0.0,0.8148148148148148,0.18518518518518517,Potentially Adverse Effect,No Positive Sign,0.0%,81.5%,18.5%
14794.0,Dasatinib,99214,cardiomyopathy due to anthracyclines,CompGCN,11,11,1,10,0,Neutral,11,0.09090909090909091,0.9090909090909091,0.0,Potentially Therapeutic,Potentially Therapeutic,9.1%,90.9%,0.0%
14794.0,Dasatinib,99214,cardiomyopathy due to anthracyclines,eAICTable2,11,11,1,10,0,Neutral,11,0.09090909090909091,0.9090909090909091,0.0,Potentially Therapeutic,Potentially Therapeutic,9.1%,90.9%,0.0%
14320.0,Dexamethasone,99214,cardiomyopathy due to anthracyclines,CompGCN,115,115,1,103,11,Neutral,115,0.008695652173913044,0.8956521739130435,0.09565217391304348,Potentially Adverse Effect,Potentially Therapeutic,0.9%,89.6%,9.6%
17653.0,Dexrazoxane,99214,cardiomyopathy due to anthracyclines,eAICTable2,200,200,144,53,3,Positive,200,0.72,0.265,0.015,Potentially Therapeutic,Potentially Therapeutic,72.0%,26.5%,1.5%
15840.0,Digoxin,99214,cardiomyopathy due to anthracyclines,CompGCN,200,200,2,188,10,Neutral,200,0.01,0.94,0.05,Potentially Adverse Effect,Potentially Therapeutic,1.0%,94.0%,5.0%
15840.0,Digoxin,99214,cardiomyopathy due to anthracyclines,eAICTable2,200,200,2,188,10,Neutral,200,0.01,0.94,0.05,Potentially Adverse Effect,Potentially Therapeutic,1.0%,94.0%,5.0%
21505.0,Emetine,99214,cardiomyopathy due to anthracyclines,eAICTable1only,2,2,0,1,1,Inconclusive,2,0.0,0.5,0.5,Potentially Adverse Effect,No Positive Sign,0.0%,50.0%,50.0%
15263.0,Enasidenib,99214,cardiomyopathy due to anthracyclines,TxGNN,2,2,0,2,0,Neutral,2,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
16028.0,Eribulin,99214,cardiomyopathy due to anthracyclines,TxGNN,2,2,0,2,0,Neutral,2,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14936.0,Erythromycin,99214,cardiomyopathy due to anthracyclines,CompGCN,5,5,0,5,0,Neutral,5,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
17537.0,Erythropoietin,99214,cardiomyopathy due to anthracyclines,CompGCN,68,68,7,59,2,Neutral,68,0.10294117647058823,0.8676470588235294,0.029411764705882353,Potentially Therapeutic,Potentially Therapeutic,10.3%,86.8%,2.9%
16347.0,Ferrous fumarate,99214,cardiomyopathy due to anthracyclines,CompGCN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14272.0,Formoterol,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
15180.0,Fusidic acid,99214,cardiomyopathy due to anthracyclines,CompGCN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
20263.0,Ganciclovir,99214,cardiomyopathy due to anthracyclines,CompGCN,9,9,0,9,0,Neutral,9,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14591.0,Glycine,99214,cardiomyopathy due to anthracyclines,CompGCN,129,129,1,127,1,Neutral,129,0.007751937984496124,0.9844961240310077,0.007751937984496124,Potentially Therapeutic,Potentially Therapeutic,0.8%,98.4%,0.8%
15412.0,Histamine,99214,cardiomyopathy due to anthracyclines,CompGCN,16,16,0,16,0,Neutral,16,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14276.0,Hydrochlorothiazide,99214,cardiomyopathy due to anthracyclines,CompGCN,11,11,0,11,0,Neutral,11,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14207.0,Imatinib,99214,cardiomyopathy due to anthracyclines,CompGCN,25,25,0,18,7,Neutral,25,0.0,0.72,0.28,Potentially Adverse Effect,No Positive Sign,0.0%,72.0%,28.0%
15288.0,Interferon alfa-2b,99214,cardiomyopathy due to anthracyclines,TxGNN,2,2,0,0,2,Negative,2,0.0,0.0,1.0,Potentially Adverse Effect,No Positive Sign,0.0%,0.0%,100.0%
15284.0,Interferon beta-1a,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,0,1,Negative,1,0.0,0.0,1.0,Potentially Adverse Effect,No Positive Sign,0.0%,0.0%,100.0%
15285.0,Interferon beta-1b,99214,cardiomyopathy due to anthracyclines,TxGNN,4,4,0,3,1,Neutral,4,0.0,0.75,0.25,Potentially Adverse Effect,No Positive Sign,0.0%,75.0%,25.0%
15739.0,Ivosidenib,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14281.0,Ketoconazole,99214,cardiomyopathy due to anthracyclines,CompGCN,6,6,0,6,0,Neutral,6,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
15254.0,Levosalbutamol,99214,cardiomyopathy due to anthracyclines,TxGNN,15,15,0,12,3,Neutral,15,0.0,0.8,0.2,Potentially Adverse Effect,No Positive Sign,0.0%,80.0%,20.0%
14060.0,Levothyroxine,99214,cardiomyopathy due to anthracyclines,CompGCN,167,167,0,159,8,Neutral,167,0.0,0.9520958083832335,0.04790419161676647,Potentially Adverse Effect,No Positive Sign,0.0%,95.2%,4.8%
14940.0,Lidocaine,99214,cardiomyopathy due to anthracyclines,CompGCN,65,65,0,61,4,Neutral,65,0.0,0.9384615384615385,0.06153846153846154,Potentially Adverse Effect,No Positive Sign,0.0%,93.8%,6.2%
61758.0,Lithium,99214,cardiomyopathy due to anthracyclines,eAICTable1only,53,53,1,42,10,Neutral,53,0.018867924528301886,0.7924528301886793,0.18867924528301888,Potentially Adverse Effect,Potentially Therapeutic,1.9%,79.2%,18.9%
15125.0,Loperamide,99214,cardiomyopathy due to anthracyclines,eAICTable2,9,9,0,5,4,Inconclusive,9,0.0,0.5555555555555556,0.4444444444444444,Potentially Adverse Effect,No Positive Sign,0.0%,55.6%,44.4%
16588.0,Metformin,99214,cardiomyopathy due to anthracyclines,eAICTable2,156,156,4,152,0,Neutral,156,0.02564102564102564,0.9743589743589743,0.0,Potentially Therapeutic,Potentially Therapeutic,2.6%,97.4%,0.0%
14194.0,Methotrexate,99214,cardiomyopathy due to anthracyclines,CompGCN,57,57,0,54,3,Neutral,57,0.0,0.9473684210526315,0.05263157894736842,Potentially Adverse Effect,No Positive Sign,0.0%,94.7%,5.3%
15018.0,Midostaurin,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14150.0,Morphine,99214,cardiomyopathy due to anthracyclines,CompGCN,22,22,0,22,0,Neutral,22,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
15440.0,Nimodipine,99214,cardiomyopathy due to anthracyclines,eAICTable2,2,2,0,2,0,Neutral,2,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14985.0,Nitrendipine,99214,cardiomyopathy due to anthracyclines,eAICTable1only,5,5,0,3,2,Neutral,5,0.0,0.6,0.4,Potentially Adverse Effect,No Positive Sign,0.0%,60.0%,40.0%
16352.0,Norepinephrine,99214,cardiomyopathy due to anthracyclines,TxGNN,200,200,0,189,11,Neutral,200,0.0,0.945,0.055,Potentially Adverse Effect,No Positive Sign,0.0%,94.5%,5.5%
17626.0,Ouabain,99214,cardiomyopathy due to anthracyclines,eAICTable1only,23,23,0,22,1,Neutral,23,0.0,0.9565217391304348,0.043478260869565216,Potentially Adverse Effect,No Positive Sign,0.0%,95.7%,4.3%
20457.0,Ozagrel,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14792.0,Paclitaxel,99214,cardiomyopathy due to anthracyclines,CompGCN,46,46,0,36,10,Neutral,46,0.0,0.782608695652174,0.21739130434782608,Potentially Adverse Effect,No Positive Sign,0.0%,78.3%,21.7%
15205.0,Pazopanib,99214,cardiomyopathy due to anthracyclines,CompGCN,8,8,0,1,7,Negative,8,0.0,0.125,0.875,Potentially Adverse Effect,No Positive Sign,0.0%,12.5%,87.5%
20239.0,Penicillamine,99214,cardiomyopathy due to anthracyclines,CompGCN,4,4,0,4,0,Neutral,4,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14993.0,Phenobarbital,99214,cardiomyopathy due to anthracyclines,CompGCN,5,5,0,5,0,Neutral,5,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14265.0,Phenprocoumon,99214,cardiomyopathy due to anthracyclines,TxGNN,3,3,0,2,1,Neutral,3,0.0,0.6666666666666666,0.3333333333333333,Potentially Adverse Effect,No Positive Sign,0.0%,66.7%,33.3%
14141.0,Phenytoin,99214,cardiomyopathy due to anthracyclines,CompGCN,7,7,1,6,0,Neutral,7,0.14285714285714285,0.8571428571428571,0.0,Potentially Therapeutic,Potentially Therapeutic,14.3%,85.7%,0.0%
17407.0,Pravastatin,99214,cardiomyopathy due to anthracyclines,CompGCN,8,8,0,7,1,Neutral,8,0.0,0.875,0.125,Potentially Adverse Effect,No Positive Sign,0.0%,87.5%,12.5%
17407.0,Pravastatin,99214,cardiomyopathy due to anthracyclines,eAICTable2,8,8,0,7,1,Neutral,8,0.0,0.875,0.125,Potentially Adverse Effect,No Positive Sign,0.0%,87.5%,12.5%
19883.0,Puromycin,99214,cardiomyopathy due to anthracyclines,eAICTable2,2,2,0,2,0,Neutral,2,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14359.0,Quercetin,99214,cardiomyopathy due to anthracyclines,eAICTable2,55,55,8,46,1,Neutral,55,0.14545454545454545,0.8363636363636363,0.01818181818181818,Potentially Therapeutic,Potentially Therapeutic,14.5%,83.6%,1.8%
14667.0,Risedronic acid,99214,cardiomyopathy due to anthracyclines,CompGCN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14184.0,Ritonavir,99214,cardiomyopathy due to anthracyclines,CompGCN,12,12,0,8,4,Neutral,12,0.0,0.6666666666666666,0.3333333333333333,Potentially Adverse Effect,No Positive Sign,0.0%,66.7%,33.3%
14263.0,Salmeterol,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,Neutral,1,0.0,1.0,0.0,Neutral Relation,No Positive Sign,0.0%,100.0%,0.0%
14975.0,Sirolimus,99214,cardiomyopathy due to anthracyclines,eAICTable2,200,200,4,190,6,Neutral,200,0.02,0.95,0.03,Potentially Adverse Effect,Potentially Therapeutic,2.0%,95.0%,3.0%
14168.0,Spironolactone,99214,cardiomyopathy due to anthracyclines,CompGCN,164,164,6,157,1,Neutral,164,0.036585365853658534,0.9573170731707317,0.006097560975609756,Potentially Therapeutic,Potentially Therapeutic,3.7%,95.7%,0.6%
